x,y,sxx,sxy,syx,syy
0,0,-40.77,-8.55728,-8.55728,-12.2494
0.1,0,-26.3516,1.0933,1.0933,0.611406
0.2,0,-27.268,0.261,0.261,0.177552
0.3,0,-27.3726,0.10691,0.10691,0.0151912
0.4,0,-27.1919,0.0784689,0.0784689,-0.00338249
0.5,0,-26.8433,0.0758873,0.0758873,-0.00411975
0.6,0,-26.3932,0.0814311,0.0814311,-0.00278482
0.7,0,-25.8886,0.0897695,0.0897695,-0.00160193
0.8,0,-25.3585,0.0987968,0.0987968,-0.000863723
0.9,0,-24.8192,0.107643,0.107643,-0.000485123
1,0,-24.2792,0.115967,0.115967,-0.00033478
1.1,0,-23.7425,0.123656,0.123656,-0.000312386
1.2,0,-23.2109,0.130691,0.130691,-0.000355492
1.3,0,-22.6851,0.137087,0.137087,-0.000429341
1.4,0,-22.1653,0.142867,0.142867,-0.000516052
1.5,0,-21.6515,0.148061,0.148061,-0.000606957
1.6,0,-21.1438,0.152693,0.152693,-0.000698023
1.7,0,-20.6422,0.15679,0.15679,-0.000787389
1.8,0,-20.1467,0.160374,0.160374,-0.000874142
1.9,0,-19.6572,0.163468,0.163468,-0.000957761
2,0,-19.1737,0.166095,0.166095,-0.00103788
2.1,0,-18.6962,0.168275,0.168275,-0.00111421
2.2,0,-18.2248,0.17003,0.17003,-0.00118648
2.3,0,-17.7594,0.171379,0.171379,-0.00125446
2.4,0,-17.3,0.172342,0.172342,-0.00131796
2.5,0,-16.8467,0.172939,0.172939,-0.00137682
2.6,0,-16.3993,0.173188,0.173188,-0.0014309
2.7,0,-15.958,0.173106,0.173106,-0.00148012
2.8,0,-15.5228,0.172712,0.172712,-0.00152439
2.9,0,-15.0935,0.172024,0.172024,-0.00156369
3,0,-14.6703,0.171057,0.171057,-0.001598
3.1,0,-14.2531,0.169828,0.169828,-0.00162733
3.2,0,-13.8419,0.168352,0.168352,-0.00165173
3.3,0,-13.4368,0.166646,0.166646,-0.00167126
3.4,0,-13.0376,0.164723,0.164723,-0.00168598
3.5,0,-12.6445,0.162599,0.162599,-0.001696
3.6,0,-12.2574,0.160287,0.160287,-0.00170143
3.7,0,-11.8763,0.157802,0.157802,-0.00170239
3.8,0,-11.5013,0.155155,0.155155,-0.00169902
3.9,0,-11.1322,0.15236,0.15236,-0.00169146
4,0,-10.7692,0.14943,0.14943,-0.00167988
4.1,0,-10.4122,0.146375,0.146375,-0.00166443
4.2,0,-10.0612,0.143208,0.143208,-0.0016453
4.3,0,-9.71623,0.139941,0.139941,-0.00162267
4.4,0,-9.37728,0.136582,0.136582,-0.0015967
4.5,0,-9.04433,0.133144,0.133144,-0.0015676
4.6,0,-8.7174,0.129636,0.129636,-0.00153556
4.7,0,-8.39648,0.126068,0.126068,-0.00150075
4.8,0,-8.08158,0.122449,0.122449,-0.00146339
4.9,0,-7.77268,0.118788,0.118788,-0.00142366
5,0,-7.4698,0.115093,0.115093,-0.00138176
5.1,0,-7.17293,0.111374,0.111374,-0.00133788
5.2,0,-6.88207,0.107637,0.107637,-0.0012922
5.3,0,-6.59721,0.103892,0.103892,-0.00124492
5.4,0,-6.31837,0.100144,0.100144,-0.00119623
5.5,0,-6.04554,0.0964009,0.0964009,-0.0011463
5.6,0,-5.77871,0.0926697,0.0926697,-0.00109532
5.7,0,-5.51789,0.0889567,0.0889567,-0.00104346
5.8,0,-5.26307,0.0852679,0.0852679,-0.000990891
5.9,0,-5.01427,0.0816092,0.0816092,-0.000937778
6,0,-4.77147,0.0779863,0.0779863,-0.000884282
6.1,0,-4.53467,0.0744044,0.0744044,-0.000830561
6.2,0,-4.30388,0.0708686,0.0708686,-0.000776765
6.3,0,-4.07909,0.0673837,0.0673837,-0.000723038
6.4,0,-3.86031,0.0639542,0.0639542,-0.000669521
6.5,0,-3.64753,0.0605845,0.0605845,-0.000616347
6.6,0,-3.44075,0.0572785,0.0572785,-0.000563645
6.7,0,-3.23998,0.0540403,0.0540403,-0.000511536
6.8,0,-3.0452,0.0508733,0.0508733,-0.000460137
6.9,0,-2.85643,0.047781,0.047781,-0.000409558
7,0,-2.67366,0.0447666,0.0447666,-0.000359904
7.1,0,-2.4969,0.041833,0.041833,-0.000311272
7.2,0,-2.32613,0.0389831,0.0389831,-0.000263757
7.3,0,-2.16136,0.0362195,0.0362195,-0.000217445
7.4,0,-2.0026,0.0335446,0.0335446,-0.000172417
7.5,0,-1.84983,0.0309606,0.0309606,-0.00012875
7.6,0,-1.70307,0.0284696,0.0284696,-8.65E-05
7.7,0,-1.5623,0.0260735,0.0260735,-4.58E-05
7.8,0,-1.42753,0.0237742,0.0237742,-6.59E-06
7.9,0,-1.29876,0.0215731,0.0215731,3.10E-05
8,0,-1.17599,0.0194717,0.0194717,6.69E-05
8.1,0,-1.05922,0.0174715,0.0174715,0.000101092
8.2,0,-0.948452,0.0155734,0.0155734,0.000133544
8.3,0,-0.843678,0.0137788,0.0137788,0.000164209
8.4,0,-0.744901,0.0120884,0.0120884,0.000193054
8.5,0,-0.652123,0.0105031,0.0105031,0.000220049
