sxx,sxy,syy,x,y
-50.3693,-9.7463,-16.6491,0,0
-25.7324,0.203949,-0.0911325,0.0840336,0
-27.0855,0.126899,0.131836,0.168067,0
-27.3589,0.0630399,0.0293915,0.252101,0
-27.3308,0.0577876,0.00381898,0.336134,0
-27.1364,0.0656685,0.000243775,0.420168,0
-26.83,0.0752804,-0.000160126,0.504202,0
-26.4526,0.0847854,-0.000210035,0.588235,0
-26.0337,0.093824,-0.00024268,0.672269,0
-25.5928,0.102312,-0.000291021,0.756303,0
-25.1417,0.110241,-0.000353617,0.840336,0
-24.6873,0.11763,-0.00042613,0.92437,0
-24.2336,0.124501,-0.00050503,1.0084,0
-23.7825,0.130879,-0.000587822,1.09244,0
-23.335,0.136783,-0.000672799,1.17647,0
-22.8915,0.142234,-0.00075879,1.2605,0
-22.4522,0.147247,-0.000844963,1.34454,0
-22.0173,0.15184,-0.000930697,1.42857,0
-21.5866,0.156026,-0.0010155,1.51261,0
-21.1602,0.159821,-0.00109897,1.59664,0
-20.7381,0.163238,-0.00118075,1.68067,0
-20.3203,0.16629,-0.00126053,1.76471,0
-19.9068,0.168992,-0.00133804,1.84874,0
-19.4975,0.171356,-0.00141304,1.93277,0
-19.0924,0.173394,-0.0014853,2.01681,0
-18.6916,0.17512,-0.00155464,2.10084,0
-18.2951,0.176545,-0.00162088,2.18487,0
-17.9029,0.177682,-0.00168389,2.26891,0
-17.5149,0.178542,-0.00174353,2.35294,0
-17.1311,0.179137,-0.0017997,2.43697,0
-16.7516,0.179478,-0.00185231,2.52101,0
-16.3764,0.179576,-0.0019013,2.60504,0
-16.0054,0.179441,-0.00194662,2.68908,0
-15.6386,0.179085,-0.00198823,2.77311,0
-15.2761,0.178517,-0.0020261,2.85714,0
-14.9179,0.177748,-0.00206025,2.94118,0
-14.5639,0.176787,-0.00209066,3.02521,0
-14.2142,0.175643,-0.00211736,3.10924,0
-13.8688,0.174327,-0.00214039,3.19328,0
-13.5275,0.172847,-0.00215977,3.27731,0
-13.1906,0.171213,-0.00217556,3.36134,0
-12.8579,0.169431,-0.00218781,3.44538,0
-12.5294,0.167513,-0.0021966,3.52941,0
-12.2052,0.165464,-0.00220199,3.61345,0
-11.8853,0.163294,-0.00220408,3.69748,0
-11.5695,0.16101,-0.00220293,3.78151,0
-11.2581,0.15862,-0.00219865,3.86555,0
-10.9509,0.156131,-0.00219133,3.94958,0
-10.6479,0.15355,-0.00218107,4.03361,0
-10.3492,0.150885,-0.00216798,4.11765,0
-10.0548,0.148142,-0.00215217,4.20168,0
-9.76455,0.145328,-0.00213373,4.28571,0
-9.47858,0.142449,-0.0021128,4.36975,0
-9.19687,0.139511,-0.00208948,4.45378,0
-8.9194,0.136521,-0.0020639,4.53782,0
-8.64617,0.133484,-0.00203615,4.62185,0
-8.3772,0.130406,-0.00200638,4.70588,0
-8.11247,0.127292,-0.00197469,4.78992,0
-7.85198,0.124148,-0.0019412,4.87395,0
-7.59574,0.120979,-0.00190603,4.95798,0
-7.34374,0.11779,-0.0018693,5.04202,0
-7.09599,0.114586,-0.00183113,5.12605,0
-6.85248,0.111371,-0.00179163,5.21008,0
-6.61322,0.108151,-0.00175092,5.29412,0
-6.3782,0.104928,-0.00170911,5.37815,0
-6.14742,0.101708,-0.00166631,5.46218,0
-5.92089,0.0984946,-0.00162264,5.54622,0
-5.69859,0.0952915,-0.0015782,5.63025,0
-5.48054,0.0921025,-0.0015331,5.71429,0
-5.26674,0.0889314,-0.00148744,5.79832,0
-5.05717,0.0857815,-0.00144132,5.88235,0
-4.85184,0.0826561,-0.00139484,5.96639,0
-4.65076,0.0795585,-0.00134811,6.05042,0
-4.45391,0.0764918,-0.0013012,6.13445,0
-4.26131,0.0734588,-0.00125422,6.21849,0
-4.07294,0.0704623,-0.00120724,6.30252,0
-3.88882,0.0675051,-0.00116036,6.38655,0
-3.70893,0.0645898,-0.00111366,6.47059,0
-3.53328,0.0617187,-0.00106722,6.55462,0
-3.36188,0.0588941,-0.00102111,6.63866,0
-3.19471,0.0561184,-0.000975403,6.72269,0
-3.03178,0.0533936,-0.000930175,6.80672,0
-2.87309,0.0507217,-0.000885491,6.89076,0
-2.71863,0.0481046,-0.000841415,6.97479,0
-2.56842,0.0455442,-0.000798008,7.05882,0
-2.42244,0.043042,-0.000755329,7.14286,0
-2.2807,0.0405997,-0.000713433,7.22689,0
-2.1432,0.0382189,-0.000672372,7.31092,0
-2.00993,0.0359009,-0.000632197,7.39496,0
-1.8809,0.033647,-0.000592953,7.47899,0
-1.75611,0.0314585,-0.000554686,7.56303,0
-1.63555,0.0293366,-0.000517436,7.64706,0
-1.51924,0.0272824,-0.000481241,7.73109,0
-1.40715,0.0252968,-0.000446139,7.81513,0
-1.29931,0.0233807,-0.000412163,7.89916,0
-1.1957,0.0215351,-0.000379344,7.98319,0
-1.09632,0.0197608,-0.000347711,8.06723,0
-1.00119,0.0180584,-0.000317289,8.15126,0
-0.910285,0.0164287,-0.000288105,8.23529,0
-0.823618,0.0148721,-0.000260179,8.31933,0
-0.741187,0.0133894,-0.000233532,8.40336,0
-0.662992,0.0119809,-0.000208182,8.48739,0
-0.589032,0.0106471,-0.000184145,8.57143,0
-0.519307,0.00938839,-0.000161435,8.65546,0
-0.453817,0.00820511,-0.000140066,8.7395,0
-0.392562,0.00709755,-0.000120048,8.82353,0
