x,y,ux,uy
0,0,0,0
0.1,0,-0.000296821,-0.000203748
0.2,0,-0.000546038,-0.000342573
0.3,0,-0.00079492,-0.00050738
0.4,0,-0.00104326,-0.000714652
0.5,0,-0.00128927,-0.000968871
0.6,0,-0.00153176,-0.00127103
0.7,0,-0.00177005,-0.00162083
0.8,0,-0.0020038,-0.00201749
0.9,0,-0.00223288,-0.00246007
1,0,-0.00245726,-0.00294756
1.1,0,-0.00267697,-0.00347897
1.2,0,-0.00289207,-0.00405332
1.3,0,-0.00310262,-0.00466964
1.4,0,-0.00330868,-0.00532697
1.5,0,-0.00351031,-0.00602437
1.6,0,-0.0037076,-0.00676091
1.7,0,-0.00390058,-0.00753568
1.8,0,-0.00408933,-0.00834776
1.9,0,-0.00427392,-0.00919626
2,0,-0.00445439,-0.0100803
2.1,0,-0.0046308,-0.010999
2.2,0,-0.00480323,-0.0119515
2.3,0,-0.00497172,-0.0129369
2.4,0,-0.00513632,-0.0139544
2.5,0,-0.00529711,-0.0150032
2.6,0,-0.00545412,-0.0160825
2.7,0,-0.00560743,-0.0171914
2.8,0,-0.00575707,-0.0183291
2.9,0,-0.00590311,-0.0194948
3,0,-0.0060456,-0.0206879
3.1,0,-0.00618458,-0.0219074
3.2,0,-0.00632012,-0.0231527
3.3,0,-0.00645227,-0.024423
3.4,0,-0.00658107,-0.0257175
3.5,0,-0.00670657,-0.0270356
3.6,0,-0.00682884,-0.0283765
3.7,0,-0.00694791,-0.0297395
3.8,0,-0.00706384,-0.031124
3.9,0,-0.00717667,-0.0325292
4,0,-0.00728646,-0.0339545
4.1,0,-0.00739326,-0.0353992
4.2,0,-0.00749711,-0.0368627
4.3,0,-0.00759806,-0.0383443
4.4,0,-0.00769616,-0.0398435
4.5,0,-0.00779147,-0.0413595
4.6,0,-0.00788402,-0.0428918
4.7,0,-0.00797386,-0.0444398
4.8,0,-0.00806105,-0.0460029
4.9,0,-0.00814563,-0.0475806
5,0,-0.00822765,-0.0491722
5.1,0,-0.00830716,-0.0507772
5.2,0,-0.0083842,-0.0523952
5.3,0,-0.00845882,-0.0540255
5.4,0,-0.00853107,-0.0556676
5.5,0,-0.008601,-0.057321
5.6,0,-0.00866866,-0.0589853
5.7,0,-0.00873408,-0.06066
5.8,0,-0.00879733,-0.0623445
5.9,0,-0.00885844,-0.0640384
6,0,-0.00891747,-0.0657412
6.1,0,-0.00897446,-0.0674526
6.2,0,-0.00902947,-0.069172
6.3,0,-0.00908253,-0.0708991
6.4,0,-0.0091337,-0.0726335
6.5,0,-0.00918302,-0.0743747
6.6,0,-0.00923055,-0.0761223
6.7,0,-0.00927633,-0.0778761
6.8,0,-0.00932041,-0.0796355
6.9,0,-0.00936284,-0.0814004
7,0,-0.00940367,-0.0831702
7.1,0,-0.00944294,-0.0849447
7.2,0,-0.00948071,-0.0867236
7.3,0,-0.00951703,-0.0885065
7.4,0,-0.00955194,-0.0902932
7.5,0,-0.00958549,-0.0920834
7.6,0,-0.00961774,-0.0938767
7.7,0,-0.00964873,-0.0956729
