ux,uy,x,y
0,0,0,0
-0.000679566,-0.000423324,0.25641,0
-0.00131672,-0.0009996,0.512821,0
-0.00192867,-0.0018837,0.769231,0
-0.00251033,-0.003071,1.02564,0
-0.00306144,-0.00454538,1.28205,0
-0.00358297,-0.00629056,1.53846,0
-0.004076,-0.00829078,1.79487,0
-0.00454159,-0.0105308,2.05128,0
-0.00498072,-0.0129958,2.30769,0
-0.00539437,-0.0156714,2.5641,0
-0.00578348,-0.0185438,2.82051,0
-0.00614896,-0.0215996,3.07692,0
-0.00649168,-0.0248258,3.33333,0
-0.00681253,-0.02821,3.58974,0
-0.00711235,-0.0317402,3.84615,0
-0.00739199,-0.0354047,4.10256,0
-0.00765226,-0.0391927,4.35897,0
-0.00789398,-0.0430933,4.61538,0
-0.00811797,-0.0470966,4.87179,0
-0.00832504,-0.0511928,5.12821,0
-0.00851598,-0.0553728,5.38462,0
-0.0086916,-0.0596278,5.64103,0
-0.00885271,-0.0639496,5.89744,0
-0.00900009,-0.0683303,6.15385,0
-0.00913458,-0.0727627,6.41026,0
-0.00925696,-0.0772398,6.66667,0
-0.00936807,-0.0817554,6.92308,0
-0.00946871,-0.0863035,7.17949,0
-0.00955973,-0.0908787,7.4359,0
-0.00964195,-0.0954759,7.69231,0
-0.00971621,-0.100091,7.94872,0
-0.00978336,-0.104719,8.20513,0
-0.00984426,-0.109358,8.46154,0
-0.00989978,-0.114003,8.71795,0
-0.00995078,-0.118653,8.97436,0
-0.00999815,-0.123305,9.23077,0
-0.0100428,-0.127957,9.48718,0
-0.0100856,-0.132609,9.74359,0
-0.0101278,-0.13726,10,0
0,0,0,0.1
-0.000522629,-0.000332857,0.25641,0.1
-0.0010371,-0.000906327,0.512821,0.1
-0.00152797,-0.00179494,0.769231,0.1
-0.00199412,-0.00298759,1.02564,0.1
-0.00243611,-0.00446736,1.28205,0.1
-0.00285481,-0.00621787,1.53846,0.1
-0.0032511,-0.00822334,1.79487,0.1
-0.00362584,-0.0104685,2.05128,0.1
-0.00397985,-0.0129385,2.30769,0.1
-0.00431391,-0.0156191,2.5641,0.1
-0.00462877,-0.0184962,2.82051,0.1
-0.00492515,-0.0215567,3.07692,0.1
-0.00520377,-0.0247874,3.33333,0.1
-0.0054653,-0.0281759,3.58974,0.1
-0.0057104,-0.0317101,3.84615,0.1
-0.00593974,-0.0353787,4.10256,0.1
-0.00615395,-0.0391704,4.35897,0.1
-0.00635367,-0.0430747,4.61538,0.1
-0.00653952,-0.0470814,4.87179,0.1
-0.00671213,-0.0511809,5.12821,0.1
-0.00687211,-0.0553639,5.38462,0.1
-0.00702008,-0.0596218,5.64103,0.1
-0.00715666,-0.0639463,5.89744,0.1
-0.00728247,-0.0683295,6.15385,0.1
-0.00739814,-0.0727642,6.41026,0.1
-0.00750428,-0.0772435,6.66667,0.1
-0.00760153,-0.0817611,6.92308,0.1
-0.00769053,-0.086311,7.17949,0.1
-0.00777193,-0.0908877,7.4359,0.1
-0.00784636,-0.0954865,7.69231,0.1
-0.00791449,-0.100103,7.94872,0.1
-0.00797698,-0.104732,8.20513,0.1
-0.0080345,-0.109372,8.46154,0.1
-0.00808774,-0.114018,8.71795,0.1
-0.00813739,-0.118668,8.97436,0.1
-0.00818414,-0.123321,9.23077,0.1
-0.0082287,-0.127973,9.48718,0.1
-0.0082718,-0.132625,9.74359,0.1
-0.00831417,-0.137276,10,0.1
0,0,0,0.2
-0.000373614,-0.000254072,0.25641,0.2
-0.000766651,-0.000832248,0.512821,0.2
-0.00113699,-0.00172584,0.769231,0.2
-0.0014876,-0.00292295,1.02564,0.2
-0.00182024,-0.00440706,1.28205,0.2
-0.00213584,-0.00616186,1.53846,0.2
-0.00243512,-0.00817156,1.79487,0.2
-0.00271874,-0.0104209,2.05128,0.2
-0.00298735,-0.012895,2.30769,0.2
-0.00324154,-0.0155795,2.5641,0.2
-0.00348188,-0.0184606,2.82051,0.2
-0.0037089,-0.0215248,3.07692,0.2
-0.00392312,-0.0247591,3.33333,0.2
-0.00412505,-0.0281512,3.58974,0.2
-0.00431516,-0.0316888,3.84615,0.2
-0.00449392,-0.0353606,4.10256,0.2
-0.0046618,-0.0391554,4.35897,0.2
-0.00481923,-0.0430627,4.61538,0.2
-0.00496665,-0.0470722,4.87179,0.2
-0.00510452,-0.0511743,5.12821,0.2
-0.00523325,-0.0553599,5.38462,0.2
-0.00535329,-0.0596201,5.64103,0.2
-0.00546507,-0.0639467,5.89744,0.2
-0.00556902,-0.068332,6.15385,0.2
-0.00566559,-0.0727686,6.41026,0.2
-0.00575521,-0.0772496,6.66667,0.2
-0.00583833,-0.0817688,6.92308,0.2
-0.0059154,-0.0863201,7.17949,0.2
-0.00598689,-0.0908982,7.4359,0.2
-0.00605326,-0.0954981,7.69231,0.2
-0.00611497,-0.100115,7.94872,0.2
-0.00617253,-0.104746,8.20513,0.2
-0.0062264,-0.109386,8.46154,0.2
-0.00627709,-0.114033,8.71795,0.2
-0.0063251,-0.118684,8.97436,0.2
-0.00637095,-0.123336,9.23077,0.2
-0.00641516,-0.12799,9.48718,0.2
-0.00645822,-0.132642,9.74359,0.2
-0.00650065,-0.137292,10,0.2
0,0,0,0.3
-0.000241741,-0.000201013,0.25641,0.3
-0.000505282,-0.000779164,0.512821,0.3
-0.0007536,-0.00167662,0.769231,0.3
-0.000988338,-0.00287717,1.02564,0.3
-0.00121143,-0.00436455,1.28205,0.3
-0.00142373,-0.00612259,1.53846,0.3
-0.0016258,-0.00813551,1.79487,0.3
-0.00181812,-0.010388,2.05128,0.3
-0.00200113,-0.0128653,2.30769,0.3
-0.00217524,-0.0155529,2.5641,0.3
-0.00234085,-0.018437,2.82051,0.3
-0.0024983,-0.0215041,3.07692,0.3
-0.00264792,-0.0247412,3.33333,0.3
-0.00279004,-0.028136,3.58974,0.3
-0.00292494,-0.0316763,3.84615,0.3
-0.00305292,-0.0353506,4.10256,0.3
-0.00317424,-0.0391478,4.35897,0.3
-0.00328917,-0.0430574,4.61538,0.3
-0.00339796,-0.0470691,4.87179,0.3
