x,y,sxx,sxy,syy
0,0,-446.82,-75.6021,-101.231
0.0840336,0,-269.787,1.14084,-0.290872
0.168067,0,-277.59,0.642011,0.889413
0.252101,0,-277.454,0.126471,0.186986
0.336134,0,-275.453,0.0198145,0.0240969
0.420168,0,-272.492,0.00264854,0.00174016
0.504202,0,-268.854,-0.000920866,-0.000552981
0.588235,0,-264.773,-0.00189968,-0.000521598
0.672269,0,-260.432,-0.00214758,-0.000309802
0.756303,0,-255.953,-0.00215327,-0.000149319
0.840336,0,-251.415,-0.00208847,-4.76E-05
0.92437,0,-246.867,-0.00201568,1.23E-05
1.0084,0,-242.334,-0.00195416,4.57E-05
1.09244,0,-237.83,-0.0019066,6.33E-05
1.17647,0,-233.362,-0.00187037,7.22E-05
1.2605,0,-228.935,-0.00184194,7.64E-05
1.34454,0,-224.55,-0.0018184,7.82E-05
1.42857,0,-220.206,-0.00179771,7.90E-05
1.51261,0,-215.905,-0.00177859,7.92E-05
1.59664,0,-211.647,-0.00176029,7.92E-05
1.68067,0,-207.431,-0.0017424,7.92E-05
1.76471,0,-203.257,-0.00172469,7.91E-05
1.84874,0,-199.126,-0.00170707,7.91E-05
1.93277,0,-195.037,-0.00168947,7.91E-05
2.01681,0,-190.991,-0.00167188,7.91E-05
2.10084,0,-186.987,-0.00165429,7.90E-05
2.18487,0,-183.026,-0.0016367,7.90E-05
2.26891,0,-179.106,-0.00161911,7.90E-05
2.35294,0,-175.229,-0.00160151,7.90E-05
2.43697,0,-171.395,-0.00158391,7.90E-05
2.52101,0,-167.603,-0.00156632,7.90E-05
2.60504,0,-163.853,-0.00154872,7.90E-05
2.68908,0,-160.146,-0.00153112,7.90E-05
2.77311,0,-156.481,-0.00151352,7.90E-05
2.85714,0,-152.858,-0.00149592,7.90E-05
2.94118,0,-149.278,-0.00147832,7.90E-05
3.02521,0,-145.74,-0.00146072,7.90E-05
3.10924,0,-142.244,-0.00144312,7.90E-05
3.19328,0,-138.791,-0.00142552,7.90E-05
3.27731,0,-135.381,-0.00140793,7.90E-05
3.36134,0,-132.012,-0.00139033,7.90E-05
3.44538,0,-128.686,-0.00137273,7.90E-05
3.52941,0,-125.402,-0.00135513,7.90E-05
3.61345,0,-122.161,-0.00133753,7.90E-05
3.69748,0,-118.962,-0.00131993,7.90E-05
3.78151,0,-115.806,-0.00130233,7.90E-05
3.86555,0,-112.691,-0.00128473,7.90E-05
3.94958,0,-109.62,-0.00126713,7.90E-05
4.03361,0,-106.59,-0.00124953,7.90E-05
4.11765,0,-103.603,-0.00123193,7.90E-05
