x,y,sxx,sxy,syy
0,0,-384.456,-65.2158,-80.9404
0.1,0,-275.81,6.95717,4.15214
0.2,0,-278.388,1.4416,1.22216
0.3,0,-276.526,0.361571,0.141847
0.4,0,-273.26,0.0869944,-0.00269947
0.5,0,-269.023,-0.0147184,-0.0179615
0.6,0,-264.16,-0.0563378,-0.0131836
0.7,0,-258.955,-0.0728335,-0.00670544
0.8,0,-253.594,-0.0785948,-0.00199981
0.9,0,-248.186,-0.0799457,0.000830077
1,0,-242.789,-0.0796258,0.00235722
1.1,0,-237.43,-0.0787593,0.00311614
1.2,0,-232.123,-0.0777666,0.00346591
1.3,0,-226.873,-0.0767809,0.00361467
1.4,0,-221.683,-0.0758297,0.00367188
1.5,0,-216.552,-0.0749083,0.00369068
1.6,0,-211.482,-0.0740063,0.003695
1.7,0,-206.472,-0.0731153,0.00369473
1.8,0,-201.521,-0.07223,0.00369352
1.9,0,-196.631,-0.0713473,0.00369249
2,0,-191.801,-0.0704658,0.00369181
2.1,0,-187.031,-0.0695848,0.00369143
2.2,0,-182.321,-0.0687039,0.00369124
2.3,0,-177.671,-0.0678231,0.00369114
2.4,0,-173.081,-0.0669423,0.0036911
2.5,0,-168.551,-0.0660615,0.00369109
2.6,0,-164.081,-0.0651807,0.00369108
2.7,0,-159.671,-0.0642999,0.00369108
2.8,0,-155.321,-0.0634191,0.00369108
2.9,0,-151.031,-0.0625383,0.00369108
3,0,-146.801,-0.0616575,0.00369108
3.1,0,-142.631,-0.0607766,0.00369108
3.2,0,-138.521,-0.0598958,0.00369108
3.3,0,-134.471,-0.059015,0.00369108
3.4,0,-130.481,-0.0581342,0.00369108
3.5,0,-126.551,-0.0572534,0.00369108
3.6,0,-122.681,-0.0563725,0.00369108
3.7,0,-118.871,-0.0554917,0.00369108
3.8,0,-115.121,-0.0546109,0.00369108
3.9,0,-111.431,-0.0537301,0.00369108
4,0,-107.801,-0.0528492,0.00369108
4.1,0,-104.231,-0.0519684,0.00369108
4.2,0,-100.721,-0.0510876,0.00369108
4.3,0,-97.2713,-0.0502068,0.00369108
4.4,0,-93.8813,-0.049326,0.00369108
4.5,0,-90.5513,-0.0484451,0.00369108
4.6,0,-87.2813,-0.0475643,0.00369108
4.7,0,-84.0713,-0.0466835,0.00369108
4.8,0,-80.9213,-0.0458027,0.00369108
4.9,0,-77.8313,-0.0449219,0.00369108
5,0,-74.8013,-0.044041,0.00369108
5.1,0,-71.8313,-0.0431602,0.00369108
5.2,0,-68.9213,-0.0422794,0.00369108
5.3,0,-66.0713,-0.0413986,0.00369108
5.4,0,-63.2813,-0.0405178,0.00369108
5.5,0,-60.5513,-0.0396369,0.00369108
5.6,0,-57.8813,-0.0387561,0.00369108
5.7,0,-55.2713,-0.0378753,0.00369108
5.8,0,-52.7213,-0.0369945,0.00369108
5.9,0,-50.2313,-0.0361137,0.00369108
6,0,-47.8013,-0.0352328,0.00369108
6.1,0,-45.4313,-0.034352,0.00369108
6.2,0,-43.1213,-0.0334712,0.00369108
6.3,0,-40.8713,-0.0325904,0.00369108
6.4,0,-38.6813,-0.0317095,0.00369108
6.5,0,-36.5513,-0.0308287,0.00369108
6.6,0,-34.4813,-0.0299479,0.00369108
6.7,0,-32.4713,-0.0290671,0.00369108
6.8,0,-30.5213,-0.0281863,0.00369108
6.9,0,-28.6313,-0.0273054,0.00369108
7,0,-26.8013,-0.0264246,0.00369108
7.1,0,-25.0313,-0.0255438,0.00369108
7.2,0,-23.3213,-0.024663,0.00369108
7.3,0,-21.6713,-0.0237822,0.00369108
7.4,0,-20.0813,-0.0229013,0.00369108
7.5,0,-18.5513,-0.0220205,0.00369108
7.6,0,-17.0813,-0.0211397,0.00369108
7.7,0,-15.6713,-0.0202589,0.00369108
7.8,0,-14.3213,-0.0193781,0.00369108
7.9,0,-13.0313,-0.0184972,0.00369108
8,0,-11.8013,-0.0176164,0.00369108
8.1,0,-10.6313,-0.0167356,0.00369107
8.2,0,-9.52135,-0.0158548,0.00369106
8.3,0,-8.47135,-0.014974,0.00369104
8.4,0,-7.48134,-0.0140932,0.00369101
8.5,0,-6.55134,-0.0132125,0.00369096
8.6,0,-5.68134,-0.0123319,0.00369091
8.7,0,-4.87133,-0.0114516,0.00369092
8.8,0,-4.12131,-0.0105718,0.00369119
8.9,0,-3.43129,-0.00969301,0.00369225
9,0,-2.80127,-0.00881558,0.00369533
9.1,0,-2.23129,-0.00793959,0.00370317
9.2,0,-1.72147,-0.00706322,0.00372127
9.3,0,-1.27209,-0.00617878,0.00375991
9.4,0,-0.883835,-0.00526294,0.00383616
9.5,0,-0.558143,-0.00425417,0.0039731
9.6,0,-0.297905,-0.00300296,0.00418504
9.7,0,-0.10837,-0.0011641,0.00440599
9.8,0,0.00223226,0.0020231,0.00417541
9.9,0,0.0261529,0.00750726,0.00188762
10,0,0.00216529,0.00327833,0.00214824
0,0.1,-230.054,-24.7361,-64.6732
